interval,date,boro_nm,category,call_count
daily,2024-02-19,Staten Island,Confirmed Crime,57
daily,2024-02-19,Staten Island,Potential Crime,134
daily,2024-02-20,Bronx,Confirmed Crime,453
daily,2024-02-20,Bronx,Potential Crime,544
daily,2024-02-20,Brooklyn,Confirmed Crime,605
daily,2024-02-20,Brooklyn,Potential Crime,865
daily,2024-02-20,Manhattan,Confirmed Crime,519
daily,2024-02-20,Manhattan,Potential Crime,729
daily,2024-02-20,Queens,Confirmed Crime,414
daily,2024-02-20,Queens,Potential Crime,674
daily,2024-02-20,Staten Island,Confirmed Crime,73
daily,2024-02-20,Staten Island,Potential Crime,139
daily,2024-02-21,Bronx,Confirmed Crime,418
daily,2024-02-21,Bronx,Potential Crime,584
daily,2024-02-21,Brooklyn,Confirmed Crime,581
daily,2024-02-21,Brooklyn,Potential Crime,903
daily,2024-02-21,Manhattan,Confirmed Crime,525
daily,2024-02-21,Manhattan,Potential Crime,694
daily,2024-02-21,Queens,Confirmed Crime,436
daily,2024-02-21,Queens,Potential Crime,621
daily,2024-02-21,Staten Island,Confirmed Crime,74
daily,2024-02-21,Staten Island,Potential Crime,131
daily,2024-02-22,Bronx,Confirmed Crime,412
daily,2024-02-22,Bronx,Potential Crime,569
daily,2024-02-22,Brooklyn,Confirmed Crime,551
daily,2024-02-22,Brooklyn,Potential Crime,856
daily,2024-02-22,Manhattan,Confirmed Crime,570
daily,2024-02-22,Manhattan,Potential Crime,695
daily,2024-02-22,Queens,Confirmed Crime,437
daily,2024-02-22,Queens,Potential Crime,659
daily,2024-02-22,Staten Island,Confirmed Crime,67
daily,2024-02-22,Staten Island,Potential Crime,107
daily,2024-02-23,Bronx,Confirmed Crime,451
daily,2024-02-23,Bronx,Potential Crime,609
daily,2024-02-23,Brooklyn,Confirmed Crime,570
daily,2024-02-23,Brooklyn,Potential Crime,1007
daily,2024-02-23,Manhattan,Confirmed Crime,561
daily,2024-02-23,Manhattan,Potential Crime,775
daily,2024-02-23,Queens,Confirmed Crime,475
daily,2024-02-23,Queens,Potential Crime,738
daily,2024-02-23,Staten Island,Confirmed Crime,67
daily,2024-02-23,Staten Island,Potential Crime,129
daily,2024-02-24,Bronx,Confirmed Crime,491
daily,2024-02-24,Bronx,Potential Crime,646
daily,2024-02-24,Brooklyn,Confirmed Crime,620
