typ_desc,incident_date,count
ALARMS: AUDIBLE/INSIDE,2024-09-28T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-09-29T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-10-01T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-10-04T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-10-05T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-10-06T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-10-07T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-10-10T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-10-13T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-10-14T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-10-15T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-10-16T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-10-17T00:00:00.000,5
ALARMS: AUDIBLE/INSIDE,2024-10-18T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-10-19T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-10-20T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-10-22T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-10-23T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-10-24T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-10-25T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-10-26T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-10-27T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-10-29T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-10-30T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-10-31T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-11-01T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-11-02T00:00:00.000,2
